Date,Open,High,Low,Close,Volume,Adj Close
2009-07-01,143.50,144.66,142.520004,142.829998,103544700,19.080051
2009-06-30,142.580006,143.799994,141.800001,142.430002,108556000,19.026618
2009-06-29,143.459999,143.949997,141.539995,141.970005,141904000,18.965169
2009-06-26,139.789995,143.560001,139.739994,142.440002,109846100,19.027953
2009-06-25,135.749996,140.200005,135.209997,139.859997,147361900,18.683302
2009-06-24,135.420002,137.499996,134.860003,136.219994,121381400,18.197049
2009-06-23,136.399998,136.949997,132.879997,134.009996,176633100,17.901825
2009-06-22,140.670002,141.559996,136.329996,137.370007,158728500,18.350674
2009-06-19,138.069996,139.500002,136.899996,139.480001,180464200,18.63254
2009-06-18,136.110004,137.999994,135.590006,135.879999,106920100,18.151631
2009-06-17,136.670004,137.449995,134.529995,135.580006,142853200,18.111556
2009-06-16,136.660004,138.470005,136.100004,136.349997,128701300,18.214416
2009-06-15,136.010002,136.929996,134.890003,136.090004,134937600,18.179684
2009-06-12,138.809999,139.100006,136.040003,136.969997,140771400,18.297239
2009-06-11,139.550003,141.559996,138.549994,139.949999,131205900,18.695325
2009-06-10,142.279999,142.35,138.300001,140.250006,172155900,18.735401
2009-06-09,143.809994,144.559998,140.549999,142.719995,169241100,19.065357
2009-06-08,143.819994,144.230003,139.43,143.849995,232913100,19.216308
2009-06-05,145.310001,146.40,143.209993,144.67,158179000,19.325849
2009-06-04,140.130003,144.180002,140.040001,143.740005,137658500,19.201615
2009-06-03,140.00,141.109999,139.070005,140.949995,141299900,18.82891
2009-06-02,138.990004,141.340004,138.350002,139.490002,114055900,18.633875
2009-06-01,136.469999,139.99,136.000002,139.349998,113124900,18.615173
2009-05-29,135.390001,135.90,133.850006,135.809998,114133600,18.142279
2009-05-28,133.449997,135.390001,132.030005,135.069994,121888200,18.043425
2009-05-27,131.779999,134.980005,130.910006,133.050001,161605500,17.773583
2009-05-26,124.759998,130.830004,124.549994,130.780003,159231800,17.470344
2009-05-22,124.049995,124.179998,121.749996,122.50,74499600,16.364253
2009-05-21,125.149994,126.780005,122.889996,124.179998,101986500,16.588677
2009-05-20,127.629997,129.209993,125.299997,125.869997,97146000,16.814437
2009-05-19,126.820005,129.309996,125.739994,127.450006,93105600,17.025504
2009-05-18,123.730001,126.700003,121.570005,126.650002,114710400,16.918634
2009-05-15,122.319996,124.619995,121.610006,122.419998,91891800,16.353566
2009-05-14,119.780005,123.529997,119.700003,122.949997,111956600,16.424367
2009-05-13,123.210003,124.019995,119.379995,119.489998,148992900,15.96216
2009-05-12,129.560001,129.710005,123.250004,124.420004,152370400,16.620739
2009-05-11,127.370005,130.959993,127.119999,129.570002,101164700,17.308705
2009-05-08,129.040003,131.23,126.260006,129.190006,116991000,17.257943
2009-05-07,132.329998,132.389999,127.900003,129.060003,132944000,17.240576
2009-05-06,133.329994,133.499998,130.220003,132.500002,118384700,17.700111
2009-05-05,131.749998,132.859997,131.119997,132.709993,99563800,17.728163
2009-05-04,128.239998,132.249996,127.679998,132.070005,152339600,17.64267
2009-05-01,125.799995,127.950005,125.799995,127.240002,99379000,16.99745
2009-04-30,126.220005,126.999996,124.920002,125.829996,124622400,16.809093
2009-04-29,124.85,126.850006,123.830004,125.139994,114527700,16.716919
2009-04-28,123.350006,126.210005,123.260004,123.900005,113964200,16.551274
2009-04-27,122.899996,125.000004,122.660004,124.729998,120172500,16.662149
2009-04-24,124.639996,125.139994,122.969997,123.900005,135191000,16.551274
2009-04-23,126.620001,127.200001,123.509996,125.40,236289200,16.751652
2009-04-22,122.630003,125.349998,121.199997,121.510004,234691800,16.232004
2009-04-21,118.889997,122.140005,118.600004,121.759996,117671400,16.2654
2009-04-20,121.729996,122.989998,119.160004,120.499994,116616500,16.097081
2009-04-17,121.179996,124.25,120.250002,123.419994,124373900,16.487152
2009-04-16,119.190004,123.150002,118.789995,121.450003,148361500,16.223989
2009-04-15,117.199999,118.249996,115.760006,117.639996,103220600,15.715026
2009-04-14,119.57,120.17,117.25,118.309998,113655500,15.804529
2009-04-13,120.009996,120.980005,119.00,120.220001,97309100,16.059678
2009-04-09,118.42,119.999996,117.960003,119.57,132689200,15.972847
2009-04-08,115.429998,116.790003,114.580006,116.320005,113907500,15.538694
2009-04-07,116.529997,116.67,114.189997,115.000002,134145200,15.362361
2009-04-06,114.940001,118.749994,113.280003,118.450001,164516100,15.823231
2009-04-03,114.189997,116.130001,113.519995,115.989998,159060300,15.49461
2009-04-02,110.139997,114.749996,109.780003,112.710003,203091700,15.056449
2009-04-01,104.089999,108.999998,103.890001,108.689998,147343000,14.519434
2009-03-31,105.449997,107.450003,105.00,105.120003,142520000,14.042534
2009-03-30,104.510002,105.01,102.609999,104.490002,125699000,13.958374
2009-03-27,108.23,108.530001,106.399999,106.850002,123218200,14.273637
2009-03-26,107.829998,109.98,107.579999,109.869998,154063000,14.677065
2009-03-25,107.579999,108.359997,103.860001,106.490001,161654500,14.225546
2009-03-24,106.359998,109.440001,105.390002,106.500001,160153000,14.226882
2009-03-23,102.710001,108.159999,101.749999,107.660001,166599300,14.381841
2009-03-20,102.09,103.109997,100.569999,101.590002,173896800,13.570976
2009-03-19,101.850001,103.199999,100.249998,101.620003,125045200,13.574984
2009-03-18,99.909997,103.479999,99.719999,101.52,199009300,13.561625
2009-03-17,95.239997,99.689999,95.07,99.659998,196661500,13.313155
2009-03-16,96.53,97.389999,94.179999,95.420001,199311000,12.746752
2009-03-13,96.300001,97.200002,95.009998,95.929999,150292100,12.81488
2009-03-12,92.899997,96.580001,92.000003,96.350002,192114300,12.870987
2009-03-11,89.809999,94.069997,89.580001,92.679998,211593200,12.380726
2009-03-10,84.87,89.169998,84.360002,88.629999,211064700,11.839704
2009-03-09,84.179997,87.600002,82.570001,83.11,174574400,11.102311
2009-03-06,88.339999,88.400001,82.330002,85.300003,252786800,11.394864
2009-03-05,90.460001,91.87,88.450002,88.839997,176724800,11.867757
2009-03-04,90.180001,92.77,89.449998,91.169997,185350900,12.179012
2009-03-03,88.929999,90.740001,87.880002,88.37,181085100,11.804972
2009-03-02,88.120001,91.199998,87.669997,87.939997,192732400,11.74753
2009-02-27,87.930003,91.30,87.669997,89.310001,176664600,11.930543
2009-02-26,92.000003,92.919997,88.96,89.189999,157467100,11.914512
2009-02-25,89.860001,92.919997,89.25,91.159997,208263300,12.177676
2009-02-24,87.449999,90.889997,87.000002,90.250003,201776400,12.056114
2009-02-23,91.650002,92.000003,86.509997,86.950001,196745500,11.61528
2009-02-20,89.399997,92.399999,89.000001,91.199998,187579000,12.183019
2009-02-19,93.370001,94.250001,90.11,90.639998,230701100,12.108211
2009-02-18,95.049999,95.849998,92.719999,94.369997,171194800,12.606486
2009-02-17,96.870001,97.039998,94.280002,94.530001,169559600,12.62786
2009-02-13,98.990003,99.939998,98.120003,99.16,152244400,13.246362
2009-02-12,95.829997,99.75,95.829997,99.270002,204297100,13.261057
2009-02-11,96.370003,98.31,95.770002,96.82,168743400,12.933772
2009-02-10,101.330003,102.510003,97.059999,97.830003,212265200,13.068694
2009-02-09,99.999999,103.000001,99.500001,102.510003,178752700,13.693875
2009-02-06,97.019998,99.999999,96.999997,99.719999,171802400,13.32117
2009-02-05,92.77,97.250003,92.619997,96.459998,187311600,12.88568
2009-02-04,93.219997,96.25,93.100001,93.549998,202105400,12.496946
2009-02-03,91.920001,93.380001,90.279997,92.979999,149827300,12.420802
2009-02-02,89.100003,92.000003,88.899999,91.509998,139561800,12.224431
2009-01-30,92.600003,93.62,90.009997,90.13,162869700,12.040083
