Date,Open,High,Low,Close,Volume,Adj Close
2009-07-01,16.67,17.309999,16.67,17.040001,92515000,13.85124
2009-06-30,16.379999,16.639999,16.24,16.549999,67489500,13.452934
2009-06-29,16.450001,16.66,16.27,16.379999,59308200,13.314747
2009-06-26,16.18,16.43,16.139999,16.290001,70252000,13.24159
2009-06-25,16.049999,16.35,15.91,16.309999,55503100,13.257846
2009-06-24,16.040001,16.32,15.99,16.10,53321600,13.087145
2009-06-23,15.88,15.99,15.61,15.81,70659600,12.851414
2009-06-22,15.90,16.17,15.63,15.68,70833600,12.745742
2009-06-19,16.049999,16.18,15.85,16.01,71511000,13.013987
2009-06-18,16.16,16.219999,15.84,15.87,57990500,12.900186
2009-06-17,15.83,16.290001,15.81,16.139999,59351300,13.119659
2009-06-16,16.049999,16.190001,15.80,15.86,54084700,12.892057
2009-06-15,16.049999,16.17,15.72,15.98,60420500,12.989601
2009-06-12,16.24,16.309999,16.02,16.309999,47621900,13.257846
2009-06-11,16.49,16.700001,16.299999,16.35,53221200,13.290362
2009-06-10,16.58,16.610001,16.15,16.459999,48782300,13.379776
2009-06-09,16.209999,16.610001,16.129999,16.42,64051300,13.347262
2009-06-08,15.86,16.10,15.61,15.92,44070000,12.940829
2009-06-05,16.299999,16.450001,15.79,15.92,62834200,12.940829
2009-06-04,15.98,16.25,15.88,16.129999,49080500,13.11153
2009-06-03,15.97,16.040001,15.72,15.94,49799000,12.957086
2009-06-02,16.25,16.540001,16.049999,16.190001,58397000,13.160303
2009-06-01,16.030001,16.59,15.97,16.50,75465600,13.412291
2009-05-29,15.75,15.79,15.24,15.72,77293300,12.778256
2009-05-28,15.56,15.72,15.15,15.72,59109200,12.778256
2009-05-27,15.50,15.86,15.34,15.46,60488000,12.566911
2009-05-26,15.01,15.51,15.00,15.48,64342900,12.583168
2009-05-22,15.23,15.26,15.01,15.05,44344900,12.233636
2009-05-21,15.36,15.43,15.05,15.18,59548500,12.339308
2009-05-20,15.81,16.049999,15.49,15.58,60337700,12.664455
2009-05-19,15.47,15.91,15.27,15.65,59048200,12.721355
2009-05-18,15.32,15.55,15.18,15.52,44691600,12.615683
2009-05-15,15.54,15.61,15.15,15.19,61813300,12.347436
2009-05-14,15.16,15.69,15.15,15.54,71224300,12.63194
2009-05-13,15.36,15.47,15.09,15.13,75872500,12.298665
2009-05-12,15.49,15.53,15.00,15.21,73714000,12.363694
