Date,Open,High,Low,Close,Volume,Adj Close
2009-07-01,24.049999,24.299999,23.959999,24.040001,54908400,20.450613
2009-06-30,23.969999,24.24,23.629999,23.77,66452400,20.220926
2009-06-29,23.60,24.030001,23.549999,23.860001,62854900,20.297488
2009-06-26,23.57,23.690001,23.32,23.35,65126400,19.863636
2009-06-25,23.43,23.92,23.200001,23.790001,57724300,20.23794
2009-06-24,23.450001,23.75,23.360001,23.469999,54287700,19.965718
2009-06-23,23.379999,23.66,23.209999,23.34,56752700,19.855129
2009-06-22,23.950001,23.950001,23.25,23.280001,71291600,19.804088
2009-06-19,24.040001,24.34,23.75,24.07,115459000,20.476133
2009-06-18,23.620001,23.690001,23.299999,23.50,58852200,19.991239
2009-06-17,23.50,23.82,23.17,23.68,86483100,20.144364
2009-06-16,23.469999,24.110001,23.440001,23.450001,105295600,19.948705
2009-06-15,23.23,23.540001,23.02,23.42,69089600,19.923184
2009-06-12,22.90,23.379999,22.74,23.33,50963500,19.846621
2009-06-11,22.59,23.26,22.57,22.83,65124600,19.421276
2009-06-10,22.17,22.620001,22.120001,22.549999,61297200,19.183082
2009-06-09,22.059999,22.32,21.879999,22.08,50887700,18.783258
2009-06-08,21.98,22.32,21.629999,22.049999,49000600,18.757736
2009-06-05,21.959999,22.309999,21.809999,22.139999,59579200,18.834299
2009-06-04,21.77,21.90,21.58,21.83,42330000,18.570585
2009-06-03,21.309999,21.76,21.290001,21.73,56039600,18.485515
2009-06-02,21.360001,21.98,21.200001,21.40,48935700,18.204788
2009-06-01,21.00,21.50,20.860001,21.40,57317100,18.204788
2009-05-29,20.559999,20.940001,20.299999,20.889999,46134900,17.770935
2009-05-28,20.32,20.629999,20.049999,20.450001,45480800,17.396632
2009-05-27,20.25,20.60,20.07,20.129999,42892900,17.12441
2009-05-26,19.540001,20.450001,19.450001,20.34,44991700,17.303055
2009-05-22,19.93,20.17,19.469999,19.75,37318700,16.801148
2009-05-21,20.139999,20.23,19.51,19.82,58232800,16.860696
2009-05-20,20.41,20.690001,20.219999,20.379999,47450700,17.337082
2009-05-19,20.51,20.74,20.25,20.309999,51368300,17.277534
2009-05-18,20.360001,20.60,20.24,20.60,46073800,17.413646
2009-05-15,20.129999,20.50,19.98,20.219999,61289900,17.092423
2009-05-14,19.83,20.23,19.799999,20.059999,54539500,16.957171
2009-05-13,19.92,20.00,19.67,19.75,49281700,16.695122
2009-05-12,19.51,20.059999,19.469999,19.889999,71966800,16.813466
2009-05-11,19.200001,19.73,19.01,19.32,63762600,16.331633
2009-05-08,19.459999,19.639999,19.139999,19.42,67597600,16.416165
2009-05-07,19.959999,19.99,19.139999,19.32,68727200,16.331633
2009-05-06,20.059999,20.07,19.610001,19.790001,59639100,16.728935
2009-05-05,20.139999,20.24,19.639999,19.790001,66835500,16.728935
2009-05-04,20.370001,20.40,19.98,20.190001,54313400,17.067064
2009-05-01,20.190001,20.35,19.860001,20.24,63224500,17.109329
2009-04-30,20.60,21.10,20.01,20.26,87439900,17.126236
2009-04-29,20.110001,20.889999,20.059999,20.25,79301600,17.117783
2009-04-28,20.25,20.27,19.790001,19.93,76685200,16.84728
2009-04-27,20.549999,20.82,20.280001,20.40,68219600,17.244581
2009-04-24,19.82,21.200001,19.50,20.91,168478500,17.675696
2009-04-23,18.92,18.940001,18.469999,18.92,86116300,15.993504
2009-04-22,18.76,19.190001,18.700001,18.780001,59401000,15.875159
2009-04-21,18.59,19.08,18.57,18.969999,60928300,16.035769
2009-04-20,18.889999,18.950001,18.57,18.610001,62937200,15.731454
2009-04-17,19.690001,19.690001,19.00,19.200001,61398500,16.230195
2009-04-16,19.16,19.780001,18.99,19.76,67688700,16.703575
2009-04-15,19.209999,19.25,18.51,18.83,72725500,15.917425
2009-04-14,19.440001,19.549999,19.00,19.35,63796300,16.356993
2009-04-13,19.690001,19.85,19.370001,19.59,44444700,16.55987
2009-04-09,19.450001,19.700001,19.219999,19.67,55759600,16.627496
2009-04-08,18.969999,19.620001,18.959999,19.190001,56408900,16.221741
2009-04-07,18.76,19.139999,18.629999,18.76,65815200,15.858252
2009-04-06,18.540001,18.76,18.27,18.76,47476100,15.858252
2009-04-03,19.129999,19.15,18.43,18.75,81858400,15.849799
2009-04-02,19.50,19.889999,19.00,19.290001,99082300,16.306274
2009-04-01,18.23,19.360001,18.18,19.309999,96438900,16.323179
2009-03-31,17.83,18.790001,17.780001,18.370001,92423300,15.528577
2009-03-30,17.74,17.76,17.27,17.48,49633000,14.776239
2009-03-27,18.540001,18.620001,18.049999,18.129999,47670400,15.325698
2009-03-26,18.17,18.879999,18.120001,18.83,63775100,15.917425
2009-03-25,17.98,18.309999,17.52,17.879999,73927100,15.114368
2009-03-24,18.040001,18.209999,17.84,17.93,50044100,15.156635
2009-03-23,17.370001,18.59,17.309999,18.33,71600000,15.494763
2009-03-20,17.32,17.65,16.879999,17.059999,81725500,14.421203
2009-03-19,17.370001,17.450001,16.92,17.139999,58994600,14.488829
2009-03-18,17.030001,17.219999,16.60,16.959999,70710700,14.336671
2009-03-17,16.32,16.90,16.26,16.90,62481000,14.285952
2009-03-16,16.82,16.959999,16.24,16.25,67028900,13.736492
