Date,Open,High,Low,Close,Volume,Adj Close
2009-07-01,15.49,15.69,15.35,15.41,12716100,15.41
2009-06-30,15.85,15.90,15.35,15.66,16033900,15.66
2009-06-29,15.86,16.01,15.60,15.90,12324000,15.90
2009-06-26,15.60,15.80,15.48,15.74,26449100,15.74
2009-06-25,15.44,15.67,15.25,15.53,19827800,15.53
2009-06-24,14.76,15.60,14.76,15.45,30979700,15.45
2009-06-23,14.75,14.90,14.55,14.68,15866300,14.68
2009-06-22,15.55,15.61,14.71,14.71,26488700,14.71
2009-06-19,15.50,15.84,15.40,15.80,20323100,15.80
2009-06-18,15.62,15.64,15.23,15.34,16185400,15.34
2009-06-17,15.91,16.030001,15.46,15.60,16521300,15.60
2009-06-16,16.33,16.379999,15.90,15.96,15116000,15.96
2009-06-15,16.559999,16.68,16.129999,16.40,23251700,16.40
2009-06-12,16.17,16.469999,16.10,16.40,16962900,16.40
2009-06-11,16.26,16.459999,16.15,16.190001,15042300,16.190001
2009-06-10,16.700001,16.719999,16.10,16.32,15771200,16.32
2009-06-09,16.23,16.50,16.18,16.40,13083200,16.40
2009-06-08,16.469999,16.49,16.040001,16.190001,13692600,16.190001
2009-06-05,16.77,16.99,16.299999,16.639999,17311400,16.639999
2009-06-04,16.40,16.709999,16.040001,16.65,19001400,16.65
2009-06-03,16.50,16.50,15.67,16.299999,26358100,16.299999
2009-06-02,16.60,16.75,16.25,16.620001,15286700,16.620001
2009-06-01,16.17,16.65,16.129999,16.58,27926100,16.58
2009-05-29,15.19,15.84,15.11,15.84,29557500,15.84
2009-05-28,15.09,15.24,14.69,15.09,19131600,15.09
2009-05-27,15.27,15.53,14.88,14.94,18977400,14.94
2009-05-26,14.68,15.44,14.67,15.28,19953000,15.28
2009-05-22,14.89,15.17,14.75,14.98,19150500,14.98
2009-05-21,14.92,15.12,14.62,14.87,15186800,14.87
2009-05-20,15.08,15.31,14.80,14.96,15781600,14.96
2009-05-19,15.06,15.34,15.02,15.18,13676000,15.18
2009-05-18,15.10,15.18,14.74,15.17,18629500,15.17
2009-05-15,15.00,15.10,14.86,14.91,22525900,14.91
2009-05-14,14.50,14.86,14.40,14.76,20841800,14.76
2009-05-13,14.92,14.95,14.50,14.52,23585400,14.52
2009-05-12,15.50,15.50,14.90,15.10,31403300,15.10
2009-05-11,14.90,15.83,14.81,15.54,39492400,15.54
2009-05-08,14.88,15.30,14.70,15.15,22461200,15.15
2009-05-07,15.03,15.10,14.38,14.80,24328500,14.80
2009-05-06,14.80,15.00,14.52,14.85,19105800,14.85
2009-05-05,14.55,14.99,14.18,14.74,35233200,14.74
2009-05-04,14.20,14.25,13.96,14.18,25094600,14.18
2009-05-01,14.50,14.50,13.91,14.14,23721700,14.14
2009-04-30,14.12,14.60,14.12,14.29,25883300,14.29
2009-04-29,13.70,14.35,13.70,14.02,16570900,14.02
2009-04-28,13.74,14.05,13.60,13.64,18856500,13.64
2009-04-27,14.48,14.55,13.88,13.89,22640600,13.89
2009-04-24,14.79,14.94,14.36,14.73,25803000,14.73
2009-04-23,14.56,14.74,14.11,14.55,32943200,14.55
2009-04-22,14.62,15.39,14.41,14.48,65407800,14.48
2009-04-21,13.94,14.59,13.71,14.38,54237700,14.38
2009-04-20,14.16,14.25,13.60,13.66,13470500,13.66
2009-04-17,14.43,14.52,14.03,14.39,19800400,14.39
2009-04-16,14.15,14.53,14.05,14.43,19156500,14.43
2009-04-15,13.93,14.09,13.77,14.02,12383200,14.02
2009-04-14,14.40,14.42,14.00,14.07,15151700,14.07
2009-04-13,14.02,14.54,13.86,14.42,35067600,14.42
2009-04-09,13.14,13.59,13.07,13.47,17285800,13.47
2009-04-08,12.90,13.01,12.75,12.92,11241000,12.92
2009-04-07,13.00,13.10,12.68,12.81,12306400,12.81
